Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email
SHIVANTA MULTISPECIALITY HOSPITAL,+91 75674 65000,"2nd floor, Aaryan Eureka, circle, Vandemataram Rd, near vandematram arcade, above La Milano Pizza, Gota, Ahmedabad, Gujarat 382481",23.09677,72.54813,West,Multi-Specialty,Gota,CONT_AHD_001,Growth Catalyst,
Vedant Multispeciality Hospital,+91 99748 65793,"2nd Floor Jaguar Showroom Road, Shree Vishnudhara Gardens, Vedant Hospital Rd, Gota, Ahmedabad, Gujarat 382470",23.10671,72.54258,West,Orthopedics,Gota,CONT_AHD_002,Key Influencer,
Lifeline Multispeciality Hospital,+91 95599 24365,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple, New S G Road, Chandlodia Rd, Gota, Ahmedabad, Gujarat 382481",23.09879,72.54812,West,Multi-Specialty,Gota,CONT_AHD_003,Silent Referrer,
ANANTA MULTISPECIALITY HOSPITAL,+91 88660 83555,"416, 418, 4th Floor, Centre Point, New SG Rd, opp. Vrundavan Heights, Gota, Ahmedabad, Gujarat 382470",23.10121,72.54884,West,Multi-Specialty,Gota,CONT_AHD_004,Peripheral Supporter,
Sunrise Hospital Gota,+91 63596 35991,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple New S G Road, Chandlodiya Rd, Gota, Ahmedabad, Gujarat 382481",23.09917,72.54823,West,Multi-Specialty,Gota,CONT_AHD_005,Silent Referrer,
Viral Multi Super Speciality Hospital,+91 99788 05500,"Viral Multi-Super Speciality Hospital, Prabhat Chowk, opposite ADC bank, near Nutan English Medium School, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06863,72.5423,West,Multi-Specialty,Ghatlodiya,CONT_AHD_006,Key Influencer,
OHM Multispeciality Hospital,+91 91733 84224,"18-19, Ghatlodia Rd, Karmachari Nagar Part-1, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06583,72.53915,West,Multi-Specialty,Ghatlodiya,CONT_AHD_007,Growth Catalyst,
Param Multispeciality,+91 96875 17182,"Jayshakti Society, 5-6, Janta Nagar Rd, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06853,72.53657,West,Multi-Specialty,Ghatlodiya,CONT_AHD_008,Peripheral Supporter,
Atulya Superspeciality Hospital,+91 97275 79000,"2nd Floor, Elite Magnum, Bhuyangdev Cross Rd, Vardhmannagar Society, Ghatlodiya, Parul Nagar Society, Ahmedabad, Gujarat 380061",23.05889,72.53824,West,Multi-Specialty,Ghatlodiya,CONT_AHD_009,Silent Referrer,
Phoenix Hospital,+91 90990 00080,"Sarvopalli Mall, Parul Nagar Society, Bhuyangdev Cross Road, Sola Rd, Vardhmannagar Society, Ghatlodiya, Parul Nagar Society, Ahmedabad, Gujarat 380061",23.05878,72.53783,West,Multi-Specialty,Ghatlodiya,CONT_AHD_010,Key Influencer,
