Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email,customer_id_x,referrals_count,visit_count,current_status,customer_id_y,days_since_last_visit,customer_id,visit_count_last_90,rule_score,catboost_score,priority_score
Kunj Hospital,+91 79 2743 2211,"Near Sola Housing, Naranpura, Ahmedabad, Gujarat 380013",23.0544,72.5478,WEST,Gynecology,Naranpura,CONT_AHD_072,Silent Referrer,,,0,0,Unaware,,365.0,,0.0,14,13.977615585958244,13.988807792979122
Lifeline Multispeciality Hospital,+91 95599 24365,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple, New S G Road, Chandlodia Rd, Gota, Ahmedabad, Gujarat 382481",23.09879,72.54812,WEST,Multi-Specialty,Gota,CONT_AHD_003,Silent Referrer,,,0,0,Unaware,,365.0,,0.0,14,13.928565223886274,13.964282611943137
Shraddha Hospital,+91 98250 99887,"1st Floor, Gayatri Complex, Nava Vadaj, Vadaj, Ahmedabad, Gujarat 380013",23.0689,72.5654,WEST,General Medicine,Vadaj,CONT_AHD_058,Silent Referrer,,,0,0,Unaware,,365.0,,0.0,14,13.91411081298875,13.957055406494375
Span ICU and Multispeciality Hospital,+91 94284 11428,"607-612, Shlok Infinity, opp. Vishwakarma Temple, Tower, Chandlodiya, Ahmedabad, Gujarat 382481",23.0867,72.54276,WEST,Multi-Specialty,Chandlodiya,CONT_AHD_022,Silent Referrer,,,0,0,Unaware,,365.0,,0.0,14,13.913382689298532,13.956691344649265
Ankur Institute of Child Health,+91 79 2749 1100,"Near Ankur Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.05123,72.55145,WEST,Pediatrics,Naranpura,CONT_AHD_055,Peripheral Supporter,ankurinstitute@gmail.com,,0,0,Unaware,,365.0,,0.0,14,13.890488294365413,13.945244147182706
Jay Ambe Clinic,+91 98765 43210,"Near Ognaj Circle, S.P. Ring Road, Ognaj, Ahmedabad, Gujarat 380060",23.1168,72.5189,WEST,General Medicine,Ognaj,CONT_AHD_049,Silent Referrer,,,0,0,Unaware,,365.0,,0.0,14,13.839294721533484,13.919647360766742
Aavishkar Hospital,+91 98240 11223,"Above Girish Cold Drinks, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0391,72.5623,WEST,Orthopedics,Commerce Six Road,CONT_AHD_064,Peripheral Supporter,,,0,0,Unaware,,365.0,,0.0,14,13.796754164351917,13.898377082175958
HCG Cancer Centre,+91 79 4041 0101,"Science City Road, Off, Sarkhej - Gandhinagar Hwy, Sola, Ahmedabad, Gujarat 380060",23.0738,72.5183,WEST,Oncology,Science City,CONT_AHD_042,Key Influencer,info.ahmedabad@hcgel.com,,0,0,Unaware,,365.0,,0.0,12,12.106746051143896,12.053373025571947
Arham Surgical Hospital,+91 79 2640 1122,"2nd Floor, Zodiac Plaza, Near St. Xavier's Ladies Hostel, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0399,72.5615,WEST,Surgery,Commerce Six Road,CONT_AHD_080,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.082605065013874,12.041302532506936
Sanjivani Super Speciality,+91 79 2676 1111,"Nr Sunrise Park, Vastrapur, Ahmedabad",23.04,72.53,WEST,Multi-Specialty,Vastrapur,CONT_AHD_REAL_261,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.07163475262268,12.03581737631134
Tapan Hospital,+91 79 2749 6677,"101, 1st Floor, Ankur Shopping Centre, Naranpura Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.05234,72.55312,WEST,Multi-Specialty,Naranpura,CONT_AHD_053,Key Influencer,info@tapanhospital.com,,0,0,Unaware,,365.0,,0.0,12,12.07095607640395,12.035478038201976
Aarna Super Speciality Hospital,+91 99099 11223,"4th Floor, Titan Square, Thaltej-Silaj Road (Serving Vadaj Area Referral), Vadaj, Ahmedabad, Gujarat 380013",23.0589,72.5601,WEST,Multi-Specialty,Vadaj,CONT_AHD_075,Growth Catalyst,info@aarnahospital.com,,0,0,Unaware,,365.0,,0.0,12,12.058008615566024,12.029004307783012
Bansal Hospital,+91 79 2764 1122,"A/10, Chandralok Society, Near Bhimjipura Cross Road, New Vadaj, Vadaj, Ahmedabad, Gujarat 380013",23.0656,72.5645,WEST,Multi-Specialty,Vadaj,CONT_AHD_073,Growth Catalyst,bansalhospital@yahoo.com,,0,0,Unaware,,365.0,,0.0,12,12.053503487049353,12.026751743524677
SVP Hospital,+91 79 2657 7656,"Ellisbridge, Ahmedabad",23.025,72.57,WEST,Government,Ellisbridge,CONT_AHD_REAL_271,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.047385113563136,12.023692556781569
Kesar Hospital,+91 79 2766 0055,"2nd Floor, Amrapali Axiom, Near Vakil Saheb Bridge, S.P. Ring Road, Ghatlodiya, Ahmedabad, Gujarat 380061",23.0645,72.5368,WEST,Gynecology,Ghatlodiya,CONT_AHD_039,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.045596257924334,12.022798128962167
Netralaya - The Eye Associates,+91 79 2644 6600,"A/1, 1st Floor, Parimal Garden to Commerce Six Road, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0398,72.5612,WEST,Ophthalmology,Commerce Six Road,CONT_AHD_062,Key Influencer,info@netralaya.com,,0,0,Unaware,,365.0,,0.0,12,12.041185537045477,12.02059276852274
Global Hospital,+91 79 2766 2200,"1st Floor, Rudra Plaza, Gota Cross Road, S.G. Highway, Gota, Ahmedabad, Gujarat 382481",23.10412,72.54098,WEST,Multi-Specialty,Gota,CONT_AHD_038,Key Influencer,info@globalhospital.com,,0,0,Unaware,,365.0,,0.0,12,12.038885442963482,12.019442721481742
Vedant Multispeciality Hospital,+91 99748 65793,"2nd Floor Jaguar Showroom Road, Shree Vishnudhara Gardens, Vedant Hospital Rd, Gota, Ahmedabad, Gujarat 382470",23.10671,72.54258,WEST,Orthopedics,Gota,CONT_AHD_002,Key Influencer,,,0,0,Unaware,,365.0,,0.0,12,12.038332590757076,12.019166295378538
