activity_id,mr_id,team,zone,customer_id,customer_status,activity_type,locality,date,start_time,end_time,duration_min,Latitude,Longitude,visit_count,referrals_count,activity_status
ACT_0000001,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_019,Key Influencer,Site Visit,Naroda,01-12-2025,09:00,09:29,29,23.13574,72.5416,6,32,Complete
ACT_0000002,MR_N1_3,TEAM_W2,EAST,CONT_AHD_036,Key Influencer,Contract Review,Commerce Six Road,01-12-2025,09:38,09:56,18,23.09033,72.54512,25,28,Missed
ACT_0000003,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_REAL_244,Silent Referrer,Email,Vatva,01-12-2025,10:11,10:50,39,23.022,72.652,5,2,Complete
ACT_0000004,MR_N1_3,TEAM_N1,WEST,CONT_AHD_001,Key Influencer,Site Visit,Ranip,01-12-2025,11:00,11:33,33,23.09677,72.54813,30,31,Complete
ACT_0000005,MR_N1_3,TEAM_N1,WEST,CONT_AHD_068,Growth Catalyst,Follow-up,Naroda,01-12-2025,11:41,12:04,23,23.03345,72.55988,4,24,Complete
ACT_0000006,MR_N1_3,TEAM_W2,EAST,CONT_AHD_034,Key Influencer,Presentation,Maninagar,01-12-2025,12:12,12:46,34,23.08309,72.54358,1,39,Complete
ACT_0000007,MR_N1_3,TEAM_W1,WEST,CONT_AHD_020,Key Influencer,Meeting,Ghatlodiya,01-12-2025,12:51,13:26,35,23.13587,72.54998,10,31,Complete
ACT_0000008,MR_N1_3,TEAM_S1,WEST,CONT_AHD_036,Silent Referrer,Email,Maninagar,01-12-2025,13:38,14:01,23,23.09033,72.54512,4,2,Missed
ACT_0000009,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_260,Growth Catalyst,Negotiation,Ghatlodiya,01-12-2025,14:13,14:43,30,23.005,72.55,11,17,Complete
ACT_0000010,MR_N1_3,TEAM_W1,NORTH,CONT_AHD_REAL_206,Growth Catalyst,Phone Call,Maninagar,02-12-2025,09:00,09:30,30,23.06,72.65,3,23,Complete
ACT_0000011,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_258,Key Influencer,Contract Review,Ognaj,02-12-2025,09:41,10:19,38,23.01,72.56,1,29,Complete
ACT_0000012,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_255,Peripheral Supporter,Meeting,Ellisbridge,02-12-2025,10:27,10:59,32,23.07,72.52,3,1,Missed
ACT_0000013,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_237,Silent Referrer,Presentation,Ranip,02-12-2025,11:12,11:37,25,23.03,72.66,23,2,Complete
ACT_0000014,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_REAL_246,Growth Catalyst,Site Visit,Commerce Six Road,02-12-2025,11:51,12:31,40,23.038,72.632,9,18,Complete
ACT_0000015,MR_N1_3,TEAM_W2,NORTH,CONT_AHD_020,Peripheral Supporter,Meeting,Vaishnodevi,02-12-2025,12:43,12:59,16,23.13587,72.54998,37,0,Complete
